src_ip,dst_ip,protocol,dst_port,packet_length
99.83.179.177,10.129.219.246,TCP,53503,98
10.129.219.246,99.83.179.177,TCP,443,66
10.129.219.246,99.83.179.177,TCP,443,102
99.83.179.177,10.129.219.246,TCP,53503,66
10.129.219.246,99.83.179.177,TCP,443,114
99.83.179.177,10.129.219.246,TCP,53503,66
99.83.179.177,10.129.219.246,TCP,53503,104
10.129.219.246,99.83.179.177,TCP,443,66
17.248.223.65,10.129.219.246,TCP,61869,1436
17.248.223.65,10.129.219.246,TCP,61869,1436
17.248.223.65,10.129.219.246,TCP,61869,1436
10.129.219.246,17.248.223.65,TCP,443,66
10.129.219.246,17.248.223.65,TCP,443,66
17.248.223.65,10.129.219.246,TCP,61869,1436
17.248.223.65,10.129.219.246,TCP,61869,693
17.248.223.65,10.129.219.246,TCP,61869,97
17.248.223.65,10.129.219.246,TCP,61869,97
10.129.219.246,17.248.223.65,TCP,443,78
17.57.145.138,10.129.219.246,TCP,61586,421
10.129.219.246,17.57.145.138,TCP,5223,66
10.129.219.246,17.57.145.138,TCP,5223,98
17.57.145.138,10.129.219.246,TCP,61586,66
10.129.219.246,17.248.223.65,TCP,443,257
10.129.219.246,17.248.223.65,TCP,443,1006
10.129.219.246,17.248.223.65,TCP,443,97
17.248.223.65,10.129.219.246,TCP,61869,66
17.248.223.65,10.129.219.246,TCP,61869,78
17.248.223.65,10.129.219.246,TCP,61869,66
10.129.219.246,17.248.223.65,TCP,443,1006
17.248.223.65,10.129.219.246,TCP,61869,78
17.248.223.65,10.129.219.246,TCP,61869,1436
17.248.223.65,10.129.219.246,TCP,61869,1436
10.129.219.246,17.248.223.65,TCP,443,66
17.248.223.65,10.129.219.246,TCP,61869,1436
17.248.223.65,10.129.219.246,TCP,61869,1165
17.248.223.65,10.129.219.246,TCP,61869,97
17.248.223.65,10.129.219.246,TCP,61869,97
10.129.219.246,17.248.223.65,TCP,443,78
10.129.219.246,17.248.223.65,TCP,443,202
10.129.219.246,17.248.223.65,TCP,443,1004
10.129.219.246,17.248.223.65,TCP,443,97
17.248.223.65,10.129.219.246,TCP,61869,66
17.248.223.65,10.129.219.246,TCP,61869,78
17.248.223.65,10.129.219.246,TCP,61869,66
10.129.219.246,17.248.223.65,TCP,443,1004
17.248.223.65,10.129.219.246,TCP,61869,78
17.248.223.65,10.129.219.246,TCP,61869,1436
17.248.223.65,10.129.219.246,TCP,61869,1436
17.248.223.65,10.129.219.246,TCP,61869,978
17.248.223.65,10.129.219.246,TCP,61869,97
17.248.223.65,10.129.219.246,TCP,61869,97
10.129.219.246,17.248.223.65,TCP,443,66
10.129.219.246,17.248.223.65,TCP,443,78
99.83.179.177,10.129.219.246,TCP,53503,98
10.129.219.246,99.83.179.177,TCP,443,66
10.129.219.246,99.83.179.177,TCP,443,102
99.83.179.177,10.129.219.246,TCP,53503,66
10.129.219.246,17.248.223.65,TCP,443,105
10.129.219.246,17.248.223.65,TCP,443,90
10.129.219.246,17.248.223.65,TCP,443,66
17.248.223.65,10.129.219.246,TCP,61869,66
17.248.223.65,10.129.219.246,TCP,61869,66
17.248.223.65,10.129.219.246,TCP,61869,66
10.129.219.246,17.248.223.65,TCP,443,66
17.248.223.65,10.129.219.246,TCP,61869,66
99.83.179.177,10.129.219.246,TCP,53503,98
10.129.219.246,99.83.179.177,TCP,443,66
10.129.219.246,99.83.179.177,TCP,443,102
99.83.179.177,10.129.219.246,TCP,53503,66
10.129.219.246,99.83.179.177,TCP,443,114
99.83.179.177,10.129.219.246,TCP,53503,66
99.83.179.177,10.129.219.246,TCP,53503,104
10.129.219.246,99.83.179.177,TCP,443,66
10.129.219.246,31.13.87.53,TCP,443,135
31.13.87.53,10.129.219.246,TCP,53507,66
31.13.87.53,10.129.219.246,TCP,53507,137
10.129.219.246,31.13.87.53,TCP,443,66
99.83.179.177,10.129.219.246,TCP,53503,98
10.129.219.246,99.83.179.177,TCP,443,66
10.129.219.246,99.83.179.177,TCP,443,102
99.83.179.177,10.129.219.246,TCP,53503,66
142.250.77.10,10.129.219.246,TCP,53442,236
10.129.219.246,142.250.77.10,TCP,443,66
10.129.219.246,142.250.77.10,TCP,443,101
10.129.219.246,142.250.77.10,TCP,443,101
142.250.77.10,10.129.219.246,TCP,53442,66
142.250.77.10,10.129.219.246,TCP,53442,66
10.129.219.246,142.250.198.65,TCP,443,54
142.250.198.65,10.129.219.246,TCP,53518,66
10.129.219.246,140.112.254.4,UDP,53,92
10.129.219.246,140.112.254.4,UDP,53,92
10.129.219.246,52.182.141.63,TCP,443,184
10.129.219.246,52.182.141.63,TCP,443,105
10.129.219.246,52.182.141.63,TCP,443,1436
10.129.219.246,52.182.141.63,TCP,443,1436
10.129.219.246,52.182.141.63,TCP,443,1436
10.129.219.246,52.182.141.63,TCP,443,382
140.112.254.4,10.129.219.246,UDP,39600,279
140.112.254.4,10.129.219.246,UDP,43161,519
52.182.141.63,10.129.219.246,TCP,53554,66
52.182.141.63,10.129.219.246,TCP,53554,66
52.182.141.63,10.129.219.246,TCP,53554,66
52.182.141.63,10.129.219.246,TCP,53554,105
10.129.219.246,52.182.141.63,TCP,443,66
10.129.219.246,13.107.5.93,TCP,443,78
52.182.141.63,10.129.219.246,TCP,53554,187
10.129.219.246,52.182.141.63,TCP,443,66
10.129.219.246,52.182.141.63,TCP,443,101
13.107.5.93,10.129.219.246,TCP,53594,66
10.129.219.246,13.107.5.93,TCP,443,54
10.129.219.246,13.107.5.93,TCP,443,571
13.107.5.93,10.129.219.246,TCP,53594,60
13.107.5.93,10.129.219.246,TCP,53594,153
10.129.219.246,13.107.5.93,TCP,443,54
10.129.219.246,13.107.5.93,TCP,443,398
13.107.5.93,10.129.219.246,TCP,53594,60
13.107.5.93,10.129.219.246,TCP,53594,1436
10.129.219.246,13.107.5.93,TCP,443,54
13.107.5.93,10.129.219.246,TCP,53594,1436
10.129.219.246,13.107.5.93,TCP,443,54
13.107.5.93,10.129.219.246,TCP,53594,1436
13.107.5.93,10.129.219.246,TCP,53594,86
10.129.219.246,13.107.5.93,TCP,443,54
10.129.219.246,13.107.5.93,TCP,443,54
10.129.219.246,13.107.5.93,TCP,443,668
13.107.5.93,10.129.219.246,TCP,53594,60
13.107.5.93,10.129.219.246,TCP,53594,513
10.129.219.246,13.107.5.93,TCP,443,54
13.107.5.93,10.129.219.246,TCP,53594,1436
13.107.5.93,10.129.219.246,TCP,53594,135
10.129.219.246,13.107.5.93,TCP,443,54
13.107.5.93,10.129.219.246,TCP,53594,758
10.129.219.246,13.107.5.93,TCP,443,54
10.129.219.246,99.83.179.177,TCP,443,114
99.83.179.177,10.129.219.246,TCP,53503,66
99.83.179.177,10.129.219.246,TCP,53503,104
10.129.219.246,99.83.179.177,TCP,443,66
52.182.141.63,10.129.219.246,TCP,53554,66
99.83.179.177,10.129.219.246,TCP,53503,98
10.129.219.246,99.83.179.177,TCP,443,66
10.129.219.246,99.83.179.177,TCP,443,102
99.83.179.177,10.129.219.246,TCP,53503,66
10.129.219.246,31.13.87.1,TCP,443,98
31.13.87.1,10.129.219.246,TCP,53506,66
10.129.219.246,13.107.5.93,TCP,443,78
31.13.87.1,10.129.219.246,TCP,53506,94
10.129.219.246,31.13.87.1,TCP,443,66
13.107.5.93,10.129.219.246,TCP,53595,66
10.129.219.246,13.107.5.93,TCP,443,54
10.129.219.246,13.107.5.93,TCP,443,571
13.107.5.93,10.129.219.246,TCP,53595,60
13.107.5.93,10.129.219.246,TCP,53595,153
10.129.219.246,13.107.5.93,TCP,443,54
10.129.219.246,13.107.5.93,TCP,443,398
13.107.5.93,10.129.219.246,TCP,53595,60
13.107.5.93,10.129.219.246,TCP,53595,1436
10.129.219.246,13.107.5.93,TCP,443,54
13.107.5.93,10.129.219.246,TCP,53595,1436
10.129.219.246,13.107.5.93,TCP,443,54
10.129.219.246,13.107.5.93,TCP,443,54
13.107.5.93,10.129.219.246,TCP,53595,1436
13.107.5.93,10.129.219.246,TCP,53595,86
10.129.219.246,13.107.5.93,TCP,443,54
10.129.219.246,13.107.5.93,TCP,443,668
13.107.5.93,10.129.219.246,TCP,53595,60
13.107.5.93,10.129.219.246,TCP,53595,513
10.129.219.246,13.107.5.93,TCP,443,54
13.107.5.93,10.129.219.246,TCP,53595,1436
13.107.5.93,10.129.219.246,TCP,53595,134
10.129.219.246,13.107.5.93,TCP,443,54
13.107.5.93,10.129.219.246,TCP,53595,758
10.129.219.246,13.107.5.93,TCP,443,54
10.129.219.246,52.182.141.63,TCP,443,184
10.129.219.246,52.182.141.63,TCP,443,1436
10.129.219.246,52.182.141.63,TCP,443,890
10.129.219.246,104.18.37.228,TCP,443,54
104.18.37.228,10.129.219.246,TCP,53530,66
52.182.141.63,10.129.219.246,TCP,53554,66
10.129.219.246,142.250.196.206,UDP,443,71
142.250.196.206,10.129.219.246,UDP,61606,68
52.182.141.63,10.129.219.246,TCP,53554,66
52.182.141.63,10.129.219.246,TCP,53554,165
10.129.219.246,52.182.141.63,TCP,443,66
10.129.219.246,185.199.111.154,TCP,443,54
99.83.179.177,10.129.219.246,TCP,53503,98
10.129.219.246,99.83.179.177,TCP,443,66
10.129.219.246,99.83.179.177,TCP,443,102
99.83.179.177,10.129.219.246,TCP,53503,66
185.199.111.154,10.129.219.246,TCP,53489,66
10.129.219.246,13.107.5.93,TCP,443,54
13.107.5.93,10.129.219.246,TCP,53594,60
13.107.5.93,10.129.219.246,TCP,53594,60
10.129.219.246,13.107.5.93,TCP,443,54
10.129.219.246,140.82.114.26,TCP,443,54
140.82.114.26,10.129.219.246,TCP,53493,66
10.129.219.246,13.107.5.93,TCP,443,54
13.107.5.93,10.129.219.246,TCP,53595,60
13.107.5.93,10.129.219.246,TCP,53595,60
10.129.219.246,13.107.5.93,TCP,443,54
10.129.219.246,142.250.196.195,TCP,443,54
142.250.196.195,10.129.219.246,TCP,53512,66
10.129.219.246,99.83.179.177,TCP,443,114
99.83.179.177,10.129.219.246,TCP,53503,66
99.83.179.177,10.129.219.246,TCP,53503,104
10.129.219.246,99.83.179.177,TCP,443,66
99.83.179.177,10.129.219.246,TCP,53503,98
10.129.219.246,99.83.179.177,TCP,443,66
10.129.219.246,99.83.179.177,TCP,443,102
99.83.179.177,10.129.219.246,TCP,53503,66
10.129.219.246,142.250.204.46,TCP,443,66
10.129.219.246,168.95.1.1,UDP,53,100
10.129.219.246,168.95.1.1,UDP,53,100
142.250.204.46,10.129.219.246,TCP,53532,66
168.95.1.1,10.129.219.246,UDP,8169,189
168.95.1.1,10.129.219.246,UDP,33023,230
10.129.219.246,142.250.204.46,TCP,443,66
10.129.219.246,162.159.140.98,TCP,443,78
162.159.140.98,10.129.219.246,TCP,53596,74
10.129.219.246,162.159.140.98,TCP,443,66
10.129.219.246,162.159.140.98,TCP,443,1436
10.129.219.246,162.159.140.98,TCP,443,685
162.159.140.98,10.129.219.246,TCP,53596,66
162.159.140.98,10.129.219.246,TCP,53596,66
162.159.140.98,10.129.219.246,TCP,53596,1436
162.159.140.98,10.129.219.246,TCP,53596,71
10.129.219.246,162.159.140.98,TCP,443,66
10.129.219.246,162.159.140.98,TCP,443,130
10.129.219.246,162.159.140.98,TCP,443,158
10.129.219.246,162.159.140.98,TCP,443,625
10.129.219.246,162.159.140.98,TCP,443,210
10.129.219.246,162.159.140.98,TCP,443,199
10.129.219.246,162.159.140.98,TCP,443,211
10.129.219.246,162.159.140.98,TCP,443,206
10.129.219.246,162.159.140.98,TCP,443,206
10.129.219.246,162.159.140.98,TCP,443,176
10.129.219.246,162.159.140.98,TCP,443,176
10.129.219.246,162.159.140.98,TCP,443,175
10.129.219.246,162.159.140.98,TCP,443,185
10.129.219.246,162.159.140.98,TCP,443,208
162.159.140.98,10.129.219.246,TCP,53596,66
162.159.140.98,10.129.219.246,TCP,53596,587
10.129.219.246,162.159.140.98,TCP,443,66
10.129.219.246,162.159.140.98,TCP,443,97
162.159.140.98,10.129.219.246,TCP,53596,66
162.159.140.98,10.129.219.246,TCP,53596,78
10.129.219.246,162.159.140.98,TCP,443,206
10.129.219.246,162.159.140.98,TCP,443,577
162.159.140.98,10.129.219.246,TCP,53596,66
10.129.219.246,162.159.140.98,TCP,443,577
162.159.140.98,10.129.219.246,TCP,53596,66
162.159.140.98,10.129.219.246,TCP,53596,78
162.159.140.98,10.129.219.246,TCP,53596,78
162.159.140.98,10.129.219.246,TCP,53596,78
162.159.140.98,10.129.219.246,TCP,53596,577
10.129.219.246,162.159.140.98,TCP,443,66
10.129.219.246,162.159.140.98,TCP,443,101
162.159.140.98,10.129.219.246,TCP,53596,396
10.129.219.246,162.159.140.98,TCP,443,66
10.129.219.246,162.159.140.98,TCP,443,101
162.159.140.98,10.129.219.246,TCP,53596,395
10.129.219.246,162.159.140.98,TCP,443,66
10.129.219.246,162.159.140.98,TCP,443,101
162.159.140.98,10.129.219.246,TCP,53596,391
162.159.140.98,10.129.219.246,TCP,53596,398
10.129.219.246,162.159.140.98,TCP,443,66
10.129.219.246,162.159.140.98,TCP,443,101
10.129.219.246,162.159.140.98,TCP,443,101
162.159.140.98,10.129.219.246,TCP,53596,395
162.159.140.98,10.129.219.246,TCP,53596,397
10.129.219.246,162.159.140.98,TCP,443,66
10.129.219.246,162.159.140.98,TCP,443,101
10.129.219.246,162.159.140.98,TCP,443,101
162.159.140.98,10.129.219.246,TCP,53596,569
10.129.219.246,162.159.140.98,TCP,443,66
10.129.219.246,162.159.140.98,TCP,443,101
162.159.140.98,10.129.219.246,TCP,53596,400
10.129.219.246,162.159.140.98,TCP,443,66
10.129.219.246,162.159.140.98,TCP,443,101
162.159.140.98,10.129.219.246,TCP,53596,399
10.129.219.246,162.159.140.98,TCP,443,66
10.129.219.246,162.159.140.98,TCP,443,101
162.159.140.98,10.129.219.246,TCP,53596,66
162.159.140.98,10.129.219.246,TCP,53596,66
162.159.140.98,10.129.219.246,TCP,53596,66
162.159.140.98,10.129.219.246,TCP,53596,66
10.129.219.246,142.250.66.74,TCP,443,54
142.250.66.74,10.129.219.246,TCP,53520,66
162.159.140.98,10.129.219.246,TCP,53596,411
10.129.219.246,162.159.140.98,TCP,443,66
10.129.219.246,162.159.140.98,TCP,443,101
162.159.140.98,10.129.219.246,TCP,53596,66
10.129.219.246,142.250.204.36,TCP,443,54
142.250.204.36,10.129.219.246,TCP,53524,66
10.129.219.246,142.250.198.74,TCP,443,54
10.129.219.246,142.250.196.202,TCP,443,54
142.250.196.202,10.129.219.246,TCP,53528,66
10.129.219.246,13.107.246.73,TCP,443,54
13.107.246.73,10.129.219.246,TCP,53533,105
13.107.246.73,10.129.219.246,TCP,53533,90
13.107.246.73,10.129.219.246,TCP,53533,66
13.107.246.73,10.129.219.246,TCP,53533,66
10.129.219.246,13.107.246.73,TCP,443,66
10.129.219.246,13.107.246.73,TCP,443,66
10.129.219.246,13.107.246.73,TCP,443,66
13.107.246.73,10.129.219.246,TCP,53533,66
13.107.246.73,10.129.219.246,TCP,53533,66
99.83.179.177,10.129.219.246,TCP,53503,98
10.129.219.246,99.83.179.177,TCP,443,66
10.129.219.246,99.83.179.177,TCP,443,102
99.83.179.177,10.129.219.246,TCP,53503,66
10.129.219.246,99.83.179.177,TCP,443,114
142.250.196.206,10.129.219.246,UDP,61606,79
10.129.219.246,142.250.196.206,UDP,443,75
99.83.179.177,10.129.219.246,TCP,53503,66
99.83.179.177,10.129.219.246,TCP,53503,104
10.129.219.246,99.83.179.177,TCP,443,66
99.83.179.177,10.129.219.246,TCP,53503,98
10.129.219.246,99.83.179.177,TCP,443,66
10.129.219.246,99.83.179.177,TCP,443,102
99.83.179.177,10.129.219.246,TCP,53503,66
10.129.219.246,31.13.87.1,TCP,443,54
10.129.219.246,31.13.87.1,TCP,443,54
31.13.87.1,10.129.219.246,TCP,53509,66
31.13.87.1,10.129.219.246,TCP,53505,66
10.129.219.246,31.13.87.4,TCP,443,54
31.13.87.4,10.129.219.246,TCP,53508,66
99.83.179.177,10.129.219.246,TCP,53503,98
10.129.219.246,99.83.179.177,TCP,443,66
10.129.219.246,99.83.179.177,TCP,443,102
99.83.179.177,10.129.219.246,TCP,53503,66
10.129.219.246,31.13.87.1,TCP,443,98
31.13.87.1,10.129.219.246,TCP,53506,66
31.13.87.1,10.129.219.246,TCP,53506,94
10.129.219.246,31.13.87.1,TCP,443,66
10.129.219.246,140.112.254.4,UDP,53,74
140.112.254.4,10.129.219.246,UDP,52181,427
10.129.219.246,104.18.32.47,TCP,443,78
104.18.32.47,10.129.219.246,TCP,61870,74
10.129.219.246,104.18.32.47,TCP,443,66
10.129.219.246,104.18.32.47,TCP,443,583
104.18.32.47,10.129.219.246,TCP,61870,66
104.18.32.47,10.129.219.246,TCP,61870,1436
104.18.32.47,10.129.219.246,TCP,61870,1436
104.18.32.47,10.129.219.246,TCP,61870,434
10.129.219.246,104.18.32.47,TCP,443,66
10.129.219.246,104.18.32.47,TCP,443,66
10.129.219.246,104.18.32.47,TCP,443,130
10.129.219.246,104.18.32.47,TCP,443,755
10.129.219.246,104.18.32.47,TCP,443,1387
104.18.32.47,10.129.219.246,TCP,61870,594
10.129.219.246,104.18.32.47,TCP,443,66
10.129.219.246,104.18.32.47,TCP,443,97
104.18.32.47,10.129.219.246,TCP,61870,97
10.129.219.246,104.18.32.47,TCP,443,66
104.18.32.47,10.129.219.246,TCP,61870,66
10.129.219.246,185.199.111.154,TCP,443,54
10.129.219.246,185.199.111.133,TCP,443,54
104.18.32.47,10.129.219.246,TCP,61870,977
10.129.219.246,104.18.32.47,TCP,443,66
185.199.111.154,10.129.219.246,TCP,53488,66
185.199.111.133,10.129.219.246,TCP,53487,66
10.129.219.246,99.83.179.177,TCP,443,114
99.83.179.177,10.129.219.246,TCP,53503,66
99.83.179.177,10.129.219.246,TCP,53503,104
10.129.219.246,99.83.179.177,TCP,443,66
99.83.179.177,10.129.219.246,TCP,53503,98
10.129.219.246,99.83.179.177,TCP,443,66
10.129.219.246,99.83.179.177,TCP,443,102
99.83.179.177,10.129.219.246,TCP,53503,66
140.82.114.26,10.129.219.246,TCP,53493,91
10.129.219.246,140.82.114.26,TCP,443,66
10.129.219.246,140.82.114.26,TCP,443,95
140.82.114.26,10.129.219.246,TCP,53493,66
10.129.219.246,142.250.204.42,TCP,443,54
142.250.204.42,10.129.219.246,TCP,53527,66
10.129.219.246,17.248.223.65,TCP,443,78
10.129.219.246,17.248.223.65,TCP,443,78
17.248.223.65,10.129.219.246,TCP,61872,74
17.248.223.65,10.129.219.246,TCP,61871,74
10.129.219.246,17.248.223.65,TCP,443,66
10.129.219.246,17.248.223.65,TCP,443,583
10.129.219.246,17.248.223.65,TCP,443,66
10.129.219.246,17.248.223.65,TCP,443,583
17.248.223.65,10.129.219.246,TCP,61872,66
17.248.223.65,10.129.219.246,TCP,61871,66
17.248.223.65,10.129.219.246,TCP,61872,1436
17.248.223.65,10.129.219.246,TCP,61872,1436
17.248.223.65,10.129.219.246,TCP,61872,913
10.129.219.246,17.248.223.65,TCP,443,66
17.248.223.65,10.129.219.246,TCP,61871,1436
17.248.223.65,10.129.219.246,TCP,61871,1436
17.248.223.65,10.129.219.246,TCP,61871,913
10.129.219.246,17.248.223.65,TCP,443,66
10.129.219.246,17.248.223.65,TCP,443,66
10.129.219.246,17.248.223.65,TCP,443,66
10.129.219.246,17.248.223.65,TCP,443,146
17.248.223.65,10.129.219.246,TCP,61872,369
17.248.223.65,10.129.219.246,TCP,61872,369
17.248.223.65,10.129.219.246,TCP,61872,128
10.129.219.246,17.248.223.65,TCP,443,66
10.129.219.246,17.248.223.65,TCP,443,66
10.129.219.246,17.248.223.65,TCP,443,146
17.248.223.65,10.129.219.246,TCP,61871,369
17.248.223.65,10.129.219.246,TCP,61871,369
17.248.223.65,10.129.219.246,TCP,61871,128
10.129.219.246,17.248.223.65,TCP,443,66
10.129.219.246,17.248.223.65,TCP,443,66
10.129.219.246,17.248.223.65,TCP,443,1420
10.129.219.246,17.248.223.65,TCP,443,1368
10.129.219.246,17.248.223.65,TCP,443,97
10.129.219.246,17.248.223.65,TCP,443,500
10.129.219.246,17.248.223.65,TCP,443,97
10.129.219.246,17.248.223.65,TCP,443,742
10.129.219.246,17.248.223.65,TCP,443,97
10.129.219.246,17.248.223.65,TCP,443,97
17.248.223.65,10.129.219.246,TCP,61872,66
17.248.223.65,10.129.219.246,TCP,61872,97
10.129.219.246,17.248.223.65,TCP,443,66
17.248.223.65,10.129.219.246,TCP,61871,78
17.248.223.65,10.129.219.246,TCP,61871,66
17.248.223.65,10.129.219.246,TCP,61871,97
17.248.223.65,10.129.219.246,TCP,61871,101
10.129.219.246,17.248.223.65,TCP,443,1368
10.129.219.246,17.248.223.65,TCP,443,531
10.129.219.246,17.248.223.65,TCP,443,531
10.129.219.246,17.248.223.65,TCP,443,66
17.248.223.65,10.129.219.246,TCP,61871,78
17.248.223.65,10.129.219.246,TCP,61871,78
17.248.223.65,10.129.219.246,TCP,61871,78
17.248.223.65,10.129.219.246,TCP,61871,670
10.129.219.246,17.248.223.65,TCP,443,66
17.248.223.65,10.129.219.246,TCP,61872,695
17.248.223.65,10.129.219.246,TCP,61872,97
10.129.219.246,17.248.223.65,TCP,443,66
10.129.219.246,17.248.223.65,TCP,443,181
10.129.219.246,17.248.223.65,TCP,443,1436
10.129.219.246,17.248.223.65,TCP,443,1436
10.129.219.246,17.248.223.65,TCP,443,1436
10.129.219.246,17.248.223.65,TCP,443,1436
10.129.219.246,17.248.223.65,TCP,443,1436
10.129.219.246,17.248.223.65,TCP,443,1436
10.129.219.246,17.248.223.65,TCP,443,1436
10.129.219.246,17.248.223.65,TCP,443,1110
10.129.219.246,17.248.223.65,TCP,443,97
17.248.223.65,10.129.219.246,TCP,61872,66
17.248.223.65,10.129.219.246,TCP,61872,66
17.248.223.65,10.129.219.246,TCP,61872,66
17.248.223.65,10.129.219.246,TCP,61872,66
17.248.223.65,10.129.219.246,TCP,61872,66
99.83.179.177,10.129.219.246,TCP,53503,98
10.129.219.246,99.83.179.177,TCP,443,66
10.129.219.246,99.83.179.177,TCP,443,102
99.83.179.177,10.129.219.246,TCP,53503,66
142.250.66.74,10.129.219.246,TCP,53520,139
142.250.204.36,10.129.219.246,TCP,53524,139
10.129.219.246,142.250.66.74,TCP,443,66
10.129.219.246,142.250.204.36,TCP,443,66
10.129.219.246,142.250.66.74,TCP,443,66
10.129.219.246,142.250.204.36,TCP,443,66
142.250.204.36,10.129.219.246,TCP,53524,66
10.129.219.246,142.250.204.36,TCP,443,66
142.250.66.74,10.129.219.246,TCP,53520,66
10.129.219.246,142.250.66.74,TCP,443,66
142.250.196.202,10.129.219.246,TCP,53528,139
10.129.219.246,142.250.196.202,TCP,443,66
10.129.219.246,142.250.196.202,TCP,443,66
142.250.196.202,10.129.219.246,TCP,53528,66
10.129.219.246,142.250.196.202,TCP,443,66
10.129.219.246,142.250.198.78,TCP,443,54
142.250.198.78,10.129.219.246,TCP,53514,66
13.107.246.73,10.129.219.246,TCP,53541,105
13.107.246.73,10.129.219.246,TCP,53541,90
10.129.219.246,13.107.246.73,TCP,443,66
10.129.219.246,13.107.246.73,TCP,443,66
13.107.246.73,10.129.219.246,TCP,53541,66
13.107.246.73,10.129.219.246,TCP,53541,66
10.129.219.246,13.107.246.73,TCP,443,66
10.129.219.246,13.107.246.73,TCP,443,66
13.107.246.73,10.129.219.246,TCP,53541,66
13.107.246.73,10.129.219.246,TCP,53541,66
10.129.219.246,142.250.66.74,TCP,443,54
10.129.219.246,142.250.198.74,TCP,443,54
10.129.219.246,142.250.198.74,TCP,443,54
142.250.198.74,10.129.219.246,TCP,53522,66
142.250.66.74,10.129.219.246,TCP,53523,66
142.250.198.74,10.129.219.246,TCP,53521,66
10.129.219.246,99.83.179.177,TCP,443,114
17.248.223.65,10.129.219.246,TCP,61872,1436
10.129.219.246,17.248.223.65,TCP,443,66
17.248.223.65,10.129.219.246,TCP,61872,1436
10.129.219.246,17.248.223.65,TCP,443,66
17.248.223.65,10.129.219.246,TCP,61872,1436
17.248.223.65,10.129.219.246,TCP,61872,1436
17.248.223.65,10.129.219.246,TCP,61872,1210
17.248.223.65,10.129.219.246,TCP,61872,97
99.83.179.177,10.129.219.246,TCP,53503,66
10.129.219.246,17.248.223.65,TCP,443,66
10.129.219.246,17.248.223.65,TCP,443,105
10.129.219.246,17.248.223.65,TCP,443,90
10.129.219.246,17.248.223.65,TCP,443,66
17.248.223.65,10.129.219.246,TCP,61871,66
10.129.219.246,142.250.77.3,TCP,443,54
